ARTIST,SONG
"Dion, Celine",It's All Coming Back To Me Now (Vocal)
"Dion, Celine",Je Sais Pas
"Dion, Celine",Just A Little Bit Of Love
"Dion, Celine",Just Walk Away
"Dion, Celine",Let’s Talk About Love
"Dion, Celine",Let's Talk About Love
"Dion, Celine",Let's Talk About Love (Vocal)
"Dion, Celine",Like A Natural Woman
"Dion, Celine",Live
"Dion, Celine",Live (Vocal)
"Dion, Celine",Love Can Move Mountains
"Dion, Celine",Love Can Move Mountains (Vocal)
"Dion, Celine",Love Doesn’t Ask Why
"Dion, Celine",Love Doesn't Ask Why
"Dion, Celine",Love Is All We Need
"Dion, Celine",Love Is On The Way
"Dion, Celine",Magic Of Christmas Day
"Dion, Celine",Magic Of Christmas Day (Vocal)
"Dion, Celine",Make You Happy (Vocal)
"Dion, Celine",Miles To Go
"Dion, Celine",Miles To Go Before I Sleep
"Dion, Celine",Misled
"Dion, Celine",Misled (Vocal)
"Dion, Celine",My Heart Will Go On
"Dion, Celine",My Heart Will Go On (Dance Remix)
"Dion, Celine",My Heart Will Go On (Deja Vu Mix)
"Dion, Celine",My Heart Will Go On (Titanic)
"Dion, Celine",My Heart Will Go On (Vocal)
"Dion, Celine",My Heart Will Go On Deja Vu Mix
"Dion, Celine",My Heart Will Go On Deja Vu Mix (Vocal)
"Dion, Celine",My Love
"Dion, Celine",My Love (Vocal)
"Dion, Celine",My Love W-Vocal
"Dion, Celine",Natural Woman
"Dion, Celine",Nature Boy
"Dion, Celine",Nature Boy (Vocal)
"Dion, Celine",New Day
"Dion, Celine",New Day Has Come
"Dion, Celine",No Living Without Loving You
"Dion, Celine",No Living Without Loving You (Vocal)
"Dion, Celine",Nothing Broken But My Heart
"Dion, Celine",Nothing Broken But My Heart (Vocal)
"Dion, Celine",O Holy Night
"Dion, Celine",O Holy Night (Vocal)
"Dion, Celine",Only One Road
"Dion, Celine",Only The Road
"Dion, Celine",Power Of Love
"Dion, Celine",Power Of Love (Vocal)
"Dion, Celine",Power Of The Dream
"Dion, Celine",Prayer
"Dion, Celine",Prayer (Vocal)
"Dion, Celine",Right In Front Of You
"Dion, Celine",Right In Front Of You (Vocal)
"Dion, Celine",Runaround Sue
"Dion, Celine",Seduces Me
"Dion, Celine",Seduces Me (Vocal)
"Dion, Celine",Send Me A Lover
"Dion, Celine",Sous Le Vent
"Dion, Celine",Sous Le Vent (Vocal)
"Dion, Celine",Stand By Your Side
"Dion, Celine",Taking Chances
"Dion, Celine",Taking Chances (Vocal)
"Dion, Celine",Tell Him
"Dion, Celine",Ten Days
"Dion, Celine",That’s The Way It Is
"Dion, Celine",That 's The Way It Is
"Dion, Celine",That 's The Way It Is (Vocal)
"Dion, Celine",That's The Way It Is
"Dion, Celine",That's The Way It Is (Vocal)
"Dion, Celine",The Power Of Love
"Dion, Celine",Then You Look At Me
"Dion, Celine",Then You Look At Me (Vocal)
"Dion, Celine",These Are The Special Times
"Dion, Celine",These Are The Special Times (Vocal)
"Dion, Celine",Think Twice
"Dion, Celine",Think Twice (Vocal)
"Dion, Celine",Thinktwice
"Dion, Celine",This Time
"Dion, Celine",To Love You More
"Dion, Celine",To Love You More (Vocal)
"Dion, Celine",Treat Her Like A Lady
"Dion, Celine",Us
"Dion, Celine",Us (Vocal)
"Dion, Celine",Water From The Moon
"Dion, Celine",When I Fall In Love
"Dion, Celine",When I Fall In Love (Vocal)
"Dion, Celine",When I Need You
"Dion, Celine",When The Wrong One Loves You Right
"Dion, Celine",Where Does My Heart Beat
"Dion, Celine",Where Does My Heart Beat Now
"Dion, Celine",Where Does My Heart Beat Now (Vocal)
"Dion, Celine",Where Is The Love
"Dion, Celine",Where Is The Love (Vocal)
"Dion, Celine",Why Oh Why
"Dion, Celine",You & I
"Dion, Celine",You And I
"Dion, Celine",You Make Me Feel Like A Natural Woman
"Dion, Celine &  Clive Griffin",When I Fall In Love
"Dion, Celine & Amy Adams",Power Of Love
"Dion, Celine & Andrea Bocelli","Prayer, The (Vocal)"
"Dion, Celine & Andrea Bocelli","Prayer, The"
"Dion, Celine & Barbra Streisand",Tell Him
"Dion, Celine & Bryson",Beauty And The Beast
"Dion, Celine & Clive Griffin",When I Fall In Love
"Dion, Celine & Clive Griffin",When I Fall In Love (Vocal)
"Dion, Celine & Clive Griffin Wvocal",When I Fall In Love
"Dion, Celine & Elvis Presley",If I Can Dream
"Dion, Celine & Frank Sinatra",All The Way
"Dion, Celine & Griffin, Clive",When I Fall In Love
"Dion, Celine & Griffith, Clive",When I Fall In Love
"Dion, Celine & Kelly",I'm Your Angel
"Dion, Celine & Luciano Pavarotti","I Hate You, Then I Love You (Vocal)"
"Dion, Celine & Luciano Pavarotti","I Hate You, Then I Love You"
"Dion, Celine & Luciano Pavarotti",I Hate You Then I Love You
"Dion, Celine & Paul Anka",It's Hard To Say Goodbye
"Dion, Celine & Peabo Bryson",Beauty & The Beast
"Dion, Celine & Peabo Bryson",Beauty & The Beast (Vocal)
"Dion, Celine & Peabo Bryson",Beauty And The Beast
"Dion, Celine & Peabo Bryson",Whole New World
"Dion, Celine & R. Kelly",I'm Your Angel
"Dion, Celine & R. Kelly",I'm Your Angel (Vocal)
"Dion, Celine & Streisand",Tell Him
"Dion, Celine & The Bee Gees",Immortality
"Dion, Celine Peabo Bryson",Beauty And The Beast
"Dion, Celine Wvocal","Power Of Love, The"
"Dion, Celine Wvocal",Taking Chances
"Dion, Celine Wvocal",That's The Way It Is
"Dion, Celine Wvocal",This Time
"Dion, Celine Wvocal",Where Does My Heart Beat Now
"Dion, Celine W-Vocal",I Drove All Night
Dionne & Friends,That's What Friends Are For
DIONNE WARWICK,THEN CAME YOU
Dionne Warwick,Do You Know The Way To San Jose
Dionne Warwick,Heartbreaker
Dionne Warwick,Message To Michael
Dionne Warwick,Walk On By
Dionne Warwick (Vocal),Do You Know The Way To San Jose
Dionne Warwick (Vocal),Walk On By
DIRE STRAITS,Walk Of Life
Dire Straits,Brothers In Arms
Dire Straits,Calling Elvis
Dire Straits,Down To The Waterline
Dire Straits,Heavy Fuel
Dire Straits,Lady Writer
Dire Straits,Love Over Gold
Dire Straits,Money For Nothing
Dire Straits,Money For Nothing (Long Version)
Dire Straits,Money For Nothing (Vocal)
Dire Straits,On Every Street
Dire Straits,Planet Of New Orleans
Dire Straits,Private Investigations
Dire Straits,Romeo & Juliet
Dire Straits,Romeo And Juliet
Dire Straits,So Far Away
Dire Straits,Sultans Of Swing
Dire Straits,The Bug
Dire Straits,The Man's Too Strong
Dire Straits,Tunnel Of Love
Dire Straits,Twisting By The Pool
Dire Straits,Walk Of Life
Dire Straits,Why Worry
Dire Straits,Your Latest Trick
Dirrty,"Aguilera, Christina"
Dirth Begas,Days Go By
Dirty Dancing,Hungry Eyes
Dirty Dancing,Loverboy
Dirty Dancing,Stay
Dirty Polka Band,Dirty Polka
Dirty Pretty Things,Bang Bang You're Dead
Dirty Rotten Scoundrels,Here I Am
Dirty Rotten Scoundrels,Nothing Is Too Wonderful To Be True
Dirty Rotten Scoundrels,What Was A Woman To Do
Dirty Style,DaCav5
Dirty Vegas,Days Go By 
Dirty Vegas,Days Go By
Dirty Vegas,Simple Things
Dirty Vegas,Simple Things Pt. 2
Disclosure Feat. AlunaGeorge,White Noise
Disclosure Ft.Eliza Doolittle,You And Me
Disco Down,Shed Seven
Disco Tex & Sex O Letts,I Wanna Dance Wit Choo
Disco-Tex & Sex O Lettes,Get Dancing
Disco-Tex & Sex-O-Lettes,Get Dancing
Dishwalla,Angels Or Devils
Dishwalla,Charlie Brown's Parents
Dishwalla,Counting Blue Cars
Dishwalla,Give
Dishwalla,Once In A While
Dishwalla,Somewhere In The Middle 
Dishwalla,Wonderwall
Disney,"Dance, Dance, Dance"
Disney,Barbara Ann
Disney,California Sun
Disney,Disney Melody
Disney,Fun Fun Fun
Disney,Good Vibrations
Disney,Help Me Rhonda
Disney,I Get Around
Disney,Medley (Vocal)
Disney,Surfin' Usa
Disney,When You Wish Upon A Star
Disney Cars,Behind The Clouds
Disney Cars,Find Yourself
Disney Cars,Find Yourself W-Vocal
Disney Cars,Life Is A Highway
Disney Cars,Life Is A Highway W-Vocal
Disney Cars,My Heart Would Know
Disney Cars,My Heart Would Know W-Vocal
Disney Cars,Our Town
Disney Cars,Real Gone
Disney Cars,Real Gone W-Vocal
Disney Cars,Route 66
Disney Cars,Route 66 W-Vocal
Disney Cars,Sh-Boom
Disney Cars,Sh-Boom W-Vocal
Disney Cheetah Girls 2,"Party's Just Begun, The"
Disney Cheetah Girls 2,Cherish The Moment
Disney Cheetah Girls 2,Dance With Me
Disney Cheetah Girls 2,Do Your Own Thing
Disney Cheetah Girls 2,It's Over
Disney Cheetah Girls 2,Step Up
Disney Cheetah Girls 2,Strut
Disney Cheetah Girls 2,Why Wait
Disney Wvocal,"Dance, Dance, Dance"
Disney Wvocal,Barbara Ann
Disney Wvocal,California Sun
Disney Wvocal,Fun Fun Fun
Disney Wvocal,Good Vibrations
Disney Wvocal,Help Me Rhonda
Disney Wvocal,I Get Around
Disney Wvocal,Surfin' Usa
Disney's '101 Dalmations',Cruella De Vil
Disney's '101 Dalmations',Cruella De Vil (Vocal)
Disney's 'Aladdin',"Whole New World (Single Pop Version), A (Vocal)"
Disney's 'Aladdin',"Whole New World (Single Pop Version), A"
Disney's 'Aladdin',"Whole New World, A (Vocal)"
Disney's 'Aladdin',"Whole New World, A"
Disney's 'Aladdin',Arabian
Disney's 'Aladdin',Arabian (Vocal)
Disney's 'Aladdin',Friend Like Me
Disney's 'Aladdin',Friend Like Me (Vocal)
Disney's 'Aladdin',One Jump Ahead
Disney's 'Aladdin',One Jump Ahead (Reprise)
Disney's 'Aladdin',One Jump Ahead (Reprise) (Vocal)
Disney's 'Aladdin',One Jump Ahead (Vocal)
Disney's 'Aladdin',Prince Ali
Disney's 'Aladdin',Prince Ali (Vocal)
Disney's 'Aladdin',Proud Of Your Boy
Disney's 'Aladdin',Proud Of Your Boy (Vocal)
Disney's 'Aly & AJ',Do You Believe In Magic
Disney's 'Aly & AJ',Do You Believe In Magic (Vocal)
Disney's 'Beauty & The Beast',Be Our Guest
Disney's 'Beauty & The Beast',Beauty & The Beast
Disney's 'Beauty & The Beast',Beauty & The Beast (Vocal)
Disney's 'Beauty & The Beast',Belle
Disney's 'Beauty & The Beast',Belle (Reprise)
Disney's 'Beauty & The Beast',Home
Disney's 'Beauty & The Beast',Home (Vocal)
Disney's 'Beauty & The Beast',Something There
Disney's 'Brother Bear',Great Spirits
Disney's 'Brother Bear',Great Spirits (Vocal)
Disney's 'Brother Bear',Look Through My Eyes
Disney's 'Brother Bear',Look Through My Eyes (Vocal)
Disney's 'Brother Bear',No Way Out
Disney's 'Brother Bear',No Way Out (Vocal)
Disney's 'Brother Bear',On My Way
Disney's 'Brother Bear',On My Way (Vocal)
Disney's 'Brother Bear',Transformation
Disney's 'Brother Bear',Transformation (Vocal)
Disney's 'Brother Bear',Welcome
Disney's 'Brother Bear',Welcome (Vocal)
Disney's 'Camp Rock',2 Stars
Disney's 'Camp Rock',2 Stars (Vocal)
Disney's 'Camp Rock',Gotta Find You
Disney's 'Camp Rock',Gotta Find You (Vocal)
Disney's 'Camp Rock',Here I Am
Disney's 'Camp Rock',Here I Am (Vocal)
Disney's 'Camp Rock',Play My Music
Disney's 'Camp Rock',Play My Music (Vocal)
Disney's 'Camp Rock',Start The Party
Disney's 'Camp Rock',Start The Party (Vocal)
Disney's 'Camp Rock',This Is Me
Disney's 'Camp Rock',This Is Me (Girl Solo)
Disney's 'Camp Rock',This Is Me (Vocal)
Disney's 'Camp Rock',Too Cool
Disney's 'Camp Rock',Too Cool (Vocal)
Disney's 'Camp Rock',Who Will I Be
Disney's 'Camp Rock',Who Will I Be (Vocal)
Disney's 'Captain Hook',Hooked On A Feeling
Disney's 'Captain Hook',Hooked On A Feeling (Vocal)
Disney's Care Bears,"Carebears On The Bus, The (Vocal)"
Disney's Care Bears,"Carebears On The Bus, The"
Disney's Care Bears,"Other Day I Met A Bear, The (Vocal)"
Disney's Care Bears,"Other Day I Met A Bear, The"
Disney's Care Bears,"Rain, Rain, Go Away (Vocal)"
Disney's Care Bears,"With A Smile, Smile, Smile (Vocal)"
Disney's Care Bears,Banana Boat Song (Care Bear Style)
Disney's Care Bears,Banana Boat Song (Carebearstyle) (Vocal)
Disney's Care Bears,Have I Got A Friend For You
Disney's Care Bears,Have I Got A Friend For You (Vocal)
Disney's Care Bears,Head & Shoulders
Disney's Care Bears,Head & Shoulders (Vocal)
Disney's Care Bears,High Above The Candy Mountains
Disney's Care Bears,High Above The Candy Mountains (Vocal)
Disney's Care Bears,If You're Happy And You Know It
Disney's Care Bears,If You're Happy And You Know It (Vocal)
Disney's Care Bears,Looby Loo
Disney's Care Bears,Looby Loo (Vocal)
Disney's Care Bears,Pat A Cake (The Carebear Way) (Vocal)
Disney's Care Bears,Pat-A-Cake
Disney's Care Bears,Rain Rain Go Away
Disney's Care Bears,Ring Around A Rainbow
Disney's Care Bears,Ring Around A Rainbow (Vocal)
Disney's Care Bears,Ten Little Care Bears
Disney's Care Bears,Ten Little Carebears (Vocal)
Disney's Care Bears,Twinkle Twinkle Little Star
Disney's Care Bears,Twinkle Twinkle Little Star (Vocal)
Disney's Care Bears,We Live In Care A Lot
Disney's Care Bears,We Live In Care A Lot (Vocal)
Disney's Care Bears,With A Great Big Care Bear Hug
Disney's Care Bears,With A Great Big Carebear Hug (Vocal)
Disney's Care Bears,With A Smile
Disney's 'Cars',Behind The Clouds
Disney's 'Cars',Behind The Clouds (Vocal)
Disney's 'Cars',Find Yourself
Disney's 'Cars',Find Yourself (Vocal)
Disney's 'Cars',Life Is A Highway
Disney's 'Cars',Life Is A Highway (Vocal)
Disney's 'Cars',My Heart Would Know
Disney's 'Cars',Our Town
Disney's 'Cars',Our Town (Vocal)
Disney's 'Cars',Real Gone
Disney's 'Cars',Real Gone (Vocal)
Disney's 'Cars',Route 66
Disney's 'Cars',Route 66 (Vocal)
Disney's 'Cars',Sh-Boom
Disney's 'Cars',Sh-Boom (Vocal)
Disney's 'Cheetah Girls 2',"Party's Just Begun, The (Vocal)"
Disney's 'Cheetah Girls 2',"Party's Just Begun, The"
Disney's 'Cheetah Girls 2',Cherish The Moment
Disney's 'Cheetah Girls 2',Cherish The Moment (Vocal)
Disney's 'Cheetah Girls 2',Dance With Me
Disney's 'Cheetah Girls 2',Dance With Me (Vocal)
Disney's 'Cheetah Girls 2',Do Your Own Thing
Disney's 'Cheetah Girls 2',Do Your Own Thing (Vocal)
Disney's 'Cheetah Girls 2',It's Over
Disney's 'Cheetah Girls 2',It's Over (Vocal)
Disney's 'Cheetah Girls 2',Step Up
Disney's 'Cheetah Girls 2',Step Up (Vocal)
Disney's 'Cheetah Girls 2',Strut
Disney's 'Cheetah Girls 2',Strut (Vocal)
Disney's 'Cheetah Girls 2',Why Wait
Disney's 'Cheetah Girls 2',Why Wait (Vocal)
Disney's 'Cheetah Sisters',Breakthrough
Disney's 'Cheetah Sisters',Breakthrough (Vocal)
Disney's 'Cheetah Sisters',C'mon
Disney's 'Cheetah Sisters',C'mon (Vocal)
Disney's 'Cheetah Sisters',Cheetah Sisters
Disney's 'Cheetah Sisters',Cheetah Sisters (Vocal)
Disney's 'Cheetah Sisters',Cinderella
Disney's 'Cheetah Sisters',Cinderella (Vocal)
Disney's 'Cheetah Sisters',End Of The Line
Disney's 'Cheetah Sisters',End Of The Line (Vocal)
Disney's 'Cheetah Sisters',Girl Power
Disney's 'Cheetah Sisters',Girl Power (Vocal)
Disney's 'Cheetah Sisters',Girlfriend
Disney's 'Cheetah Sisters',Girlfriend (Vocal)
Disney's 'Cheetah Sisters',Together We Can
Disney's 'Cheetah Sisters',Together We Can (Vocal)
Disney's 'Chicken Little',Ain't No Mountain High Enough
Disney's 'Chicken Little',Ain't No Mountain High Enough (Vocal)
Disney's 'Chicken Little',All I Know
Disney's 'Chicken Little',All I Know (Vocal)
Disney's 'Chicken Little',Don't Go Breaking My Heart
Disney's 'Chicken Little',Don't Go Breaking My Heart (Vocal)
Disney's 'Chicken Little',I Will Survive
Disney's 'Chicken Little',I Will Survive (Vocal)
Disney's 'Chicken Little',It's The End Of The World As We Know It (And I Feel Fine)
Disney's 'Chicken Little',It's The End Of The World As We Know It (And I Feel Fine) (Vocal)
Disney's 'Chicken Little',It's Too Late
Disney's 'Chicken Little',It's Too Late (Vocal)
Disney's 'Chicken Little',One Little Slip
Disney's 'Chicken Little',One Little Slip (Vocal)
Disney's 'Chicken Little',Shake A Tail Feather
Disney's 'Chicken Little',Shake A Tail Feather (Vocal)
Disney's 'Cinderella',"Dream Is A Wish Your Heart Makes, A (Vocal)"
Disney's 'Cinderella',"Dream Is A Wish Your Heart Makes, A"
Disney's 'Cinderella',So This Is Love
Disney's 'Cinderella',So This Is Love (Duet) (Vocal)
Disney's 'Cinderella',So This Is Love (Vocal)
Disney's 'Donkey',Disco Inferno
Disney's 'Donkey',Disco Inferno (Vocal)
Disney's 'Dumbo',Baby Mine
Disney's 'Dumbo',Baby Mine (Vocal)
Disney's 'Dumbo',When I See An Elephant Fly
Disney's 'Dumbo',When I See An Elephant Fly (Vocal)
Disney's 'Hercules',Go The Distance
Disney's 'Hercules',Go The Distance (Vocal)
Disney's 'Hercules',I Won't Say (I'm In Love)
Disney's 'Hercules',I Won't Say (I'm In Love) (Duet) (Vocal)
Disney's 'Hercules',I Won't Say (I'm In Love) (Vocal)
Disney's 'High School Musical',"Right Here, Right Now (Vocal)"
Disney's 'High School Musical',"Right Here, Right Now"
Disney's 'High School Musical',Bet On It
Disney's 'High School Musical',Bop To The Top
Disney's 'High School Musical',Breaking Free
Disney's 'High School Musical',Can I Have This Dance
Disney's 'High School Musical',Can I Have This Dance (Vocal)
Disney's 'High School Musical',Everyday
Disney's 'High School Musical',Fabulous
Disney's 'High School Musical',Get'cha Head In The Game
Disney's 'High School Musical',Get'cha Head In The Game (No Graphics)
Disney's 'High School Musical',Gotta Go My Own Way
Disney's 'High School Musical',I Can't Take My Eyes Off Of You
Disney's 'High School Musical',I Don't Dance
Disney's 'High School Musical',I Want It All
Disney's 'High School Musical',I Want It All (Vocal)
Disney's 'High School Musical',Just Wanna Be With You
Disney's 'High School Musical',Just Wanna Be With You (Vocal)
Disney's 'High School Musical',Now Or Never
Disney's 'High School Musical',Now Or Never (Vocal)
Disney's 'High School Musical',Scream
Disney's 'High School Musical',Scream (Vocal)
Disney's 'High School Musical',Senior Year Spring Musical
Disney's 'High School Musical',Senior Year Spring Musical (Vocal)
Disney's 'High School Musical',Start Of Something New
Disney's 'High School Musical',Stick To The Status Quo (No Graphics)
Disney's 'High School Musical',Walk Away
Disney's 'High School Musical',Walk Away (Vocal)
Disney's 'High School Musical',We're All In This Together
Disney's 'High School Musical',What I've Been Looking For
Disney's 'High School Musical',What I've Been Looking For (Reprise)(No Graphics)
Disney's 'High School Musical',What Time Is It
Disney's 'High School Musical',When There Was Me & You
Disney's 'High School Musical',Work This Out
Disney's 'High School Musical',You Are The Music In Me
Disney's 'Hunchback Of Notre Dame',God Help The Outcasts
Disney's 'Hunchback Of Notre Dame',God Help The Outcasts (Vocal)
Disney's 'Jungle Book',Bare Necessities
Disney's 'Jungle Book',Bare Necessities (Duet) (Vocal)
Disney's 'Jungle Book',I Wan'na Be Like You (The Monkey Song)
Disney's 'Jungle Book',I Wan'na Be Like You (The Monkey Song) (Vocal)
Disney's 'Jungle Book',I Wanna Be Like You
Disney's 'Jungle Book',Never Smile At A Crocodile
Disney's 'Jungle Book',Never Smile At A Crocodile (Vocal)
Disney's 'Kim Possible',"Call Me, Beep Me (The Kim Possible Song) (Vocal)"
Disney's 'Kim Possible',"Call Me, Beep Me (The Kim Possible Song)"
Disney's 'Kim Possible',"Naked Mole Rap, The (Vocal)"
Disney's 'Kim Possible',"Naked Mole Rap, The"
Disney's 'Kim Possible',Celebration
Disney's 'Kim Possible',Celebration (Vocal)
Disney's 'Kim Possible',Could It Be
Disney's 'Kim Possible',Could It Be (Vocal)
Disney's 'Kim Possible',I'm Ready
Disney's 'Kim Possible',I'm Ready (Vocal)
Disney's 'Kim Possible',It's Just You
Disney's 'Kim Possible',It's Just You (Vocal)
Disney's 'Kim Possible',Rappin' Drakken
Disney's 'Kim Possible',Rappin' Drakken (Vocal)
Disney's 'Kim Possible',Say The Word
Disney's 'Kim Possible',Say The Word (Vocal)
Disney's 'Lady & The Tramp',Bella Notte
Disney's 'Lady & The Tramp',Bella Notte (Vocal)
Disney's 'Lady & The Tramp',He's A Tramp
Disney's 'Lady & The Tramp',He's A Tramp (Vocal)
Disney's Lil Red Riding Hood',Who's Afraid Of The Big Bad Wolf
Disney's Lil Red Riding Hood',Who's Afraid Of The Big Bad Wolf (Vocal)
Disney's 'Lion King',"Lion Sleeps Tonight, The (Vocal)"
Disney's 'Lion King',"Lion Sleeps Tonight, The"
Disney's 'Lion King',Be Prepared
Disney's 'Lion King',Be Prepared (Vocal)
Disney's 'Lion King',Beauty & The Beast
Disney's 'Lion King',Can You Feel The Love Tonight
Disney's 'Lion King',Can You Feel The Love Tonight (Vocal)
Disney's 'Lion King',Circle Of Life
Disney's 'Lion King',Circle Of Life (Vocal)
Disney's 'Lion King',Hakuna Matata
Disney's 'Lion King',Hakuna Matata (Duet) (Vocal)
Disney's 'Lion King',Hakuna Matata (Vocal)
Disney's 'Lion King',He Lives In You
Disney's 'Lion King',He Lives In You (Vocal)
Disney's 'Lion King',I Just Can't Wait To Be King
Disney's 'Lion King',I Just Can't Wait To Be King (Duet) (Vocal)
Disney's 'Lion King',I Just Can't Wait To Be King (Vocal)
Disney's 'Lion King',Queen Of The Jungle
Disney's 'Lion King',Queen Of The Jungle (Vocal)
Disney's 'Lion King',Warthog Rhapsody
Disney's 'Lion King',Warthog Rhapsody (Vocal)
Disney's 'Little Mermaid',Kiss The Girl
Disney's 'Little Mermaid',Kiss The Girl (Vocal)
Disney's 'Little Mermaid',Les Poissons
Disney's 'Little Mermaid',Les Poissons (Vocal)
Disney's 'Little Mermaid',Part Of Your World
Disney's 'Little Mermaid',Part Of Your World (Vocal)
Disney's 'Little Mermaid',Poor Unfortunate Souls
Disney's 'Little Mermaid',Poor Unfortunate Souls (Vocal)
Disney's 'Little Mermaid',Under The Sea
Disney's 'Little Mermaid',Under The Sea (Vocal)
Disney's 'Lizzie McGuire',"Tide Is High (Get The Feeling), The (Vocal)"
Disney's 'Lizzie McGuire',"Tide Is High (Get The Feeling), The"
Disney's 'Lizzie McGuire',Girl In The Band
Disney's 'Lizzie McGuire',Girl In The Band (Vocal)
Disney's 'Lizzie McGuire',Have A Nice Life
Disney's 'Lizzie McGuire',Have A Nice Life (Vocal)
Disney's 'Lizzie McGuire',I Can't Wait
Disney's 'Lizzie McGuire',I Can't Wait (Vocal)
Disney's 'Lizzie McGuire',Lizzie McGuire (Theme)
Disney's 'Lizzie McGuire',Lizzie McGuire (Theme) (Vocal)
Disney's 'Lizzie McGuire',Supermodel
Disney's 'Lizzie McGuire',Supermodel (Vocal)
Disney's 'Lizzie McGuire',What Dreams Are Made Of
Disney's 'Lizzie McGuire',What Dreams Are Made Of (Vocal)
Disney's 'Lizzie McGuire',Why Not
Disney's 'Lizzie McGuire',Why Not (Vocal)
Disney's 'Mary Poppins',"Spoonful Of Sugar, A"
Disney's 'Mary Poppins',Chim-Chim-Cher-Ee
Disney's 'Mary Poppins',Chim-Chim-Cher-Ee (Vocal)
Disney's 'Mary Poppins',Feed The Birds
Disney's 'Mary Poppins',Feed The Birds (Tuppence A Bag)
Disney's 'Mary Poppins',Feed The Birds (Tuppence A Bag) (Vocal)
Disney's 'Mary Poppins',Feed The Birds (Vocal)
Disney's 'Mary Poppins',I Love To Laugh
Disney's 'Mary Poppins',I Love To Laugh (Vocal)
Disney's 'Mary Poppins',Jolly Holiday
Disney's 'Mary Poppins',Jolly Holiday (Vocal)
Disney's 'Mary Poppins',Let's Go Fly A Kite
Disney's 'Mary Poppins',Let's Go Fly A Kite (Vocal)
Disney's 'Mary Poppins',Spoonful Of Sugar
Disney's 'Mary Poppins',Spoonful Of Sugar (Vocal)
Disney's 'Mary Poppins',Stay Awake
Disney's 'Mary Poppins',Stay Awake (Vocal)
Disney's 'Mary Poppins',Supercalifragilisticexpialidocious
Disney's 'Mary Poppins',Supercalifragilisticexpialidocious (Vocal)
Disney's 'Mickey Mouse Club',Mickey Mouse Club March
Disney's 'Mickey Mouse Club',Mickey Mouse Club March (Vocal)
"Disney's 'Monsters, Inc'",If I Didn't Have You
"Disney's 'Monsters, Inc'",If I Didn't Have You (Duet) (Vocal)
Disney's 'Mulan',I'll Make A Man Out Of You
Disney's 'Mulan',I'll Make A Man Out Of You (Vocal)
Disney's 'Mulan',Reflection
Disney's 'Mulan',Reflection (Pop Version)
Disney's 'Mulan',Reflection (Vocal)
Disney's 'No Secrets',Kiss The Girl
Disney's 'No Secrets',Kiss The Girl (Vocal)
Disney's 'Peter Pan',Second Star To The Right
Disney's 'Peter Pan',Second Star To The Right (Vocal)
Disney's 'Pete's Dragon',Candle On The Water
Disney's 'Pete's Dragon',Candle On The Water (Vocal)
Disney's 'Pinnochio',Give A Little Whistle (Vocal)
Disney's 'Pinnochio',Hi-Diddle-Dee-Dee (Vocal)
Disney's 'Pinocchio',Hi Diddle Dee Dee
Disney's 'Pinocchio',When You Wish Upon A Star
Disney's 'Pocahontas',"Mine, Mine, Mine"
Disney's 'Pocahontas',Colors Of The Wind
Disney's 'Pocahontas',Colors Of The Wind (Vocal)
Disney's 'Pocahontas',If I Never Knew You
Disney's 'Pocahontas',Just Around The River Bend
Disney's 'Pocahontas',Just Around The River Bend (Vocal)
Disney's 'Prince Charming',I'm Too Sexy
Disney's 'Prince Charming',I'm Too Sexy (Vocal)
Disney's 'Princesses',Bibbidi Bobbidi Boo
Disney's 'Princesses',Bibbidi Bobbidi Boo (Vocal)
Disney's 'Princesses',Every Girl Can Be A Princess
Disney's 'Princesses',Every Girl Can Be A Princess (Vocal)
Disney's 'Princesses',I Won't Say (I'm In Love)
Disney's 'Princesses',I Won't Say (I'm In Love) (Vocal)
Disney's 'Princesses',I Wonder
Disney's 'Princesses',I Wonder (Vocal)
Disney's 'Princesses',If You Can Dream
Disney's 'Princesses',If You Can Dream (Vocal)
Disney's 'Princesses',Once Upon A Dream
Disney's 'Princesses',Once Upon A Dream (Vocal)
Disney's 'Princesses',So This Is Love
Disney's 'Princesses',So This Is Love (Vocal)
Disney's 'Princesses',Whole New World
Disney's 'Princesses',Whole New World (Vocal)
Disney's 'Puss In Boots',These Boots Are Made For Walking
Disney's 'Puss In Boots',These Boots Are Made For Walking (Vocal)
Disney's 'Radio Disney',All Star
Disney's 'Radio Disney',All Star (Vocal)
Disney's 'Radio Disney',Are You Happy Now
Disney's 'Radio Disney',Are You Happy Now (Vocal)
Disney's 'Radio Disney',Complicated
Disney's 'Radio Disney',Complicated (Vocal)
Disney's 'Radio Disney',I'm A Believer
Disney's 'Radio Disney',I'm A Believer (Vocal)
Disney's 'Radio Disney',Invisible
Disney's 'Radio Disney',Invisible (Vocal)
Disney's 'Radio Disney',So Yesterday
Disney's 'Radio Disney',So Yesterday (Vocal)
Disney's 'Radio Disney',Why Not
Disney's 'Radio Disney',Why Not (Vocal)
Disney's 'Radio Disney',YMCA
Disney's 'Radio Disney',YMCA (Vocal)
Disney's 'Raven',True To Your Heart
Disney's 'Raven',True To Your Heart (Vocal)
Disney's 'Shrek & Fiona',What I Like About You
Disney's 'Shrek & Fiona',What I Like About You (Vocal)
Disney's 'Sleeping Beauty',I Wonder
Disney's 'Sleeping Beauty',I Wonder (Vocal)
Disney's 'Sleeping Beauty',Once Upon A Dream
